city,gov_locality,priv_locality
"Huntsville, AL",116.37,93.00
"Phoenix, AZ",117.12,112.00
"Tucson, AZ",114.51,103.50
"Los Angeles, CA",127.65,128.00
"Oakland, CA",135.75,127.00
"Sacramento, CA",122.61,102.00
"San Diego, CA",124.73,123.00
"San Francisco, CA",135.75,138.00
"Colorado Springs, CO",114.52,92.30
"Denver, CO",122.93,104.80
"Washington, DC",124.78,133.00
"Melbourne, FL",114.42,90.50
"Miami/Fort Lauderdale, FL",121.05,107.00
"Atlanta, GA",119.58,106.50
"Honolulu, HI",116.81,105.00
"Chicago, IL",125.44,123.00
"Naperville, IL",125.44,112.00
"Indianapolis, IN",114.92,96.00
"Davenport, IA",114.43,95.00
"Overland Park, KS",114.49,99.20
"Baltimore, MD",124.78,103.00
"Boston, MA",125.19,133.00
"Ann Arbor, MI",124.40,101.50
"Detroit, MI",124.40,100.00
"Minneapolis, MN",121.30,106.00
"St. Paul, MN",121.30,102.00
"Kansas City, MO",114.49,99.20
"St. Louis, MO",114.49,100.00
"Las Vegas, NV",114.37,97.00
"Albuquerque, NM",114.37,91.50
"Albany, NY",114.49,97.00
"Buffalo, NY",117.31,95.00
"New York, NY",129.20,140.00
"Charlotte, NC",114.44,101.50
"Raleigh, NC",117.94,104.00
"Akron, OH",118.87,89.00
"Canton, OH",118.87,82.00
"Cincinnati, OH",118.76,97.50
"Cleveland, OH",118.87,96.00
"Columbus, OH",117.41,97.50
"Dayton, OH",116.50,87.00
"Portland, OR",120.69,106.50
"Harrisburg, PA",114.47,95.00
"Philadelphia, PA",122.22,115.00
"Pittsburgh, PA",116.68,98.00
"Providence, RI",125.19,97.00
"Austin, TX",114.51,107.00
"Dallas, TX",121.04,108.50
"Fort Worth, TX",121.04,107.50
"Houston, TX",129.11,107.50
"Richmond, VA",116.76,98.00
"Seattle, WA",122.26,132.00
"Milwaukee, WI",118.39,101.00
